question,groundtruth,difficulty,response,scores,sources,faithfulness,answer_relevancy,context_precision,context_recall,noise_sensitivity(mode=relevant),semantic_similarity,answer_correctness
"In caso di un Evento Paradossale (Livello VIOLA), quali sono i passaggi precisi per attivare il Generatore di Coerenza Temporale?",Bisogna recarsi nella sala macchine al piano -1 e utilizzare la chiave di attivazione custodita nella cassaforte dell'ufficio del Direttore (combinazione 7-23-42-88).,difficile,"In caso di un Evento Paradossale (Livello VIOLA), i passaggi precisi per attivare il Generatore di Coerenza Temporale sono:

1. Chiave di attivazione: cassaforte ufficio Direttore, combinazione 7-23-42-88
2. Tutto il personale deve sedersi a terra e rimanere immobile","[0.4578074812889099, 0.484405517578125, 0.4901697635650635]","['synthetic_data\\Emergenza Impianto Sincro-Cristalli.pdf:2:1', 'synthetic_data\\Emergenza Impianto Sincro-Cristalli.pdf:2:2', 'synthetic_data\\Emergenza Impianto Sincro-Cristalli.pdf:2:0']",1.0,0.8427022981515939,0.9999999999666667,1.0,,0.5612023129983833,0.14030057824959583
Qual è la procedura di decontaminazione specifica per gli indumenti civili esposti alla brina color lavanda?,"Il documento menziona la formazione di brina lavanda come segnale di attivazione, ma non descrive procedure di decontaminazione per indumenti civili.",impossible,"La procedura di decontaminazione specifica per gli indumenti civili esposti alla brina color lavanda include:

1. Neutralizzazione dei granuli assorbenti: Utilizzate il Granuli assorbenti GR-Ω7, che sono presenti nel Kit contenimento KIT-ETH-500.

2. Copertura con Teli di Silenzio Solidificato 4 pz (2×3 m): Questo tipo di teli è specificamente progettato per proteggere contro particelle e fumo, quindi sarà efficace per coprire la brina color lavanda.

3. Chiusura delle fessure: Utilizzate il Sigillante spray SS-99 3 bombolette (750 ml) per chiudere le fessure in modo efficace.

Questo kit di contenimento è specificamente progettato per proteggere contro la brina color lavanda e deve essere utilizzato immediatamente dopo l'indossamento.","[0.6122349500656128, 0.6863161325454712, 0.6902971267700195]","['synthetic_data\\Emergenza Impianto Sincro-Cristalli.pdf:0:2', 'synthetic_data\\Sicurezza Impianto Sincro-Cristalli.pdf:0:1', 'synthetic_data\\Emergenza Impianto Sincro-Cristalli.pdf:1:0']",1.0,0.6720053732504245,0.0,0.0,0.0,0.6327134939656631,0.15817837349141578
Qual è la durata di conservazione (shelf life) dell'Etere Liquido Grezzo?,La shelf life è di 90 giorni dalla produzione.,facile,"La durata di conservazione (shelf life) dell'Etere Liquido Grezzo, come specificato nella documentazione fornita, è di 14.5 mm ± 0.2 mm per ogni lotto.","[0.5370416641235352, 0.5400915741920471, 0.5948393940925598]","['synthetic_data\\Logistiche e Gestione Materiali.pdf:0:1', 'synthetic_data\\Chimica dell_Etere Liquido.pdf:0:0', 'synthetic_data\\Chimica dell_Etere Liquido.pdf:2:0']",1.0,0.7032240292476941,0.9999999999666667,1.0,0.0,0.47140366169061343,0.11785091542265336
Quale fornitore è autorizzato per il Tè Freddo e qual è il suo rating?,Il fornitore è Oolong Cosmico GmbH con un rating di B+.,medio,"Il fornitore autorizzato per il Tè Freddo Oolong Cosmico GmbHSUP-004-OC è EtherCorp Universale, con un rating A+.","[0.6085019111633301, 0.6902583837509155, 0.7124441862106323]","['synthetic_data\\Logistiche e Gestione Materiali.pdf:2:1', 'synthetic_data\\Logistiche e Gestione Materiali.pdf:2:0', 'synthetic_data\\Chimica dell_Etere Liquido.pdf:2:0']",0.0,0.6520172663442431,0.9999999999666667,1.0,0.0,0.656056765893714,0.1640141914734285
"Analizzando il codice lotto 'SC-214732-A-0847', cosa indicano i segmenti '32' e 'A'?","Il segmento '32' indica la settimana ISO di produzione, mentre 'A' indica la linea produttiva utilizzata.",difficile,"I segmenti del codice lotto 'SC-214732-A-0847' indicano:

32: Settimana ISO 01-52

A: Linea produttiva A, B, C

Questo indica che il lottino è associato alla linea produttiva A e al mese di settembre del 2021 (anno ISO 2021).","[0.49689167737960815, 0.6337653398513794, 0.6579045653343201]","['synthetic_data\\Logistiche e Gestione Materiali.pdf:0:0', 'synthetic_data\\Logistiche e Gestione Materiali.pdf:3:0', 'synthetic_data\\Logistiche e Gestione Materiali.pdf:2:2']",0.5,0.8508359926855339,0.9999999999666667,1.0,0.0,0.6226230715479026,0.15565576788697566
Quali sono le dimensioni fisiche esterne del 'Cofanetto antilevitazione AL-P1' usato per i cristalli Premium?,"Il documento specifica che contiene 12 cristalli, ma non fornisce le dimensioni fisiche del cofanetto.",impossible,"The dimensions of the ""Cofanetto antilevitazione AL-P1"" used for the Premium crystals are 112 x 6 x 4.5 cm.","[0.5113994479179382, 0.512327253818512, 0.59296715259552]","['synthetic_data\\Logistiche e Gestione Materiali.pdf:1:0', 'synthetic_data\\Logistiche e Gestione Materiali.pdf:1:1', 'synthetic_data\\Sicurezza Impianto Sincro-Cristalli.pdf:0:1']",1.0,0.9040366145869078,0.0,0.0,0.0,0.4867865892621864,0.1216966473155466
Qual è la frequenza di calibrazione dei Sensori di Distanza Calamita Inversa?,La calibrazione deve essere effettuata ogni 72 ore operative.,facile,La frequenza di calibrazione dei Sensori di Distanza Calamita Inversa è ogni 72 ore operative.,"[0.29452043771743774, 0.524976372718811, 0.6617993116378784]","['synthetic_data\\Manutenzione Impianto XJ-99.pdf:1:2', 'synthetic_data\\Manutenzione Impianto XJ-99.pdf:2:0', 'synthetic_data\\Sicurezza Impianto Sincro-Cristalli.pdf:0:1']",1.0,0.9005260156219441,0.9999999999666667,1.0,0.0,0.7045094898877967,0.17612737247194918
Quali sono i parametri della soglia critica per i 'Cuscinetti centrifuga'?,La soglia critica per i cuscinetti della centrifuga è di 2.350 ore.,medio,"I parametri della soglia critica per i ""Cuscinetti centrifuga"" sono:
- Velocità Operativa Standard 12.000 giri/secondo
- Tolleranza Velocità ±45 giri/secondo","[0.6128730773925781, 0.6196315288543701, 0.6550819277763367]","['synthetic_data\\Manutenzione Impianto XJ-99.pdf:2:1', 'synthetic_data\\Manutenzione Impianto XJ-99.pdf:1:0', 'synthetic_data\\Sicurezza Impianto Sincro-Cristalli.pdf:0:0']",1.0,0.5531480343392419,0.9999999999666667,1.0,0.3333333333333333,0.7511716666517789,0.18779291666294473
"Descrivi la procedura di calibrazione dei sensori Calamita Inversa, includendo lo strumento necessario e la tolleranza della deriva.","Si usa il Calibratore Universale DIST-CAL-14.15. Procedura: spegnere il campo (pannello C-7), attendere 180s, inserire il campione Gap Master™ (14.500 mm), avviare calibrazione (tasto F7). La deriva deve essere < 0.08 mm.",difficile,"La procedura di calibrazione dei sensori Calamita Inversa include:

1. **Spegnere il campo di Calamita Inversa (interruttore pannello C-7)**

2. **Attendere 180 secondi per la dissipazione del campo residuo**

3. **Inserire il campione di riferimento (Gap Master™ 14.500 mm, tolleranza ±0.002 mm)**

4. **Avviare sequenza di calibrazione (tasto F7 su HMI)**

5. **Verificare che la deriva sia < 0.08 mm**

6. **Registrare su modulo CAL-FORM-14 i valori: data, ora, deriva pre/post, firma operatore**

Lo strumento necessario per questa procedura è il Calibratore Universale DIST-CAL-14.5. La tolleranza della deriva è di ±0.08 mm.","[0.34026002883911133, 0.4313926696777344, 0.6381852030754089]","['synthetic_data\\Manutenzione Impianto XJ-99.pdf:1:2', 'synthetic_data\\Manutenzione Impianto XJ-99.pdf:2:0', 'synthetic_data\\Chimica dell_Etere Liquido.pdf:0:1']",0.0,0.6697216457361557,0.9999999999666667,1.0,0.125,0.7360477769977956,0.784011944249449
Quante calorie vengono bruciate mediamente da un tecnico durante la 'Pulizia profonda Vasca Immersione'?,"Il documento indica che l'operazione dura 3 ore e richiede 2 operatori, ma non fornisce dati sul dispendio energetico.",impossible,"The given information does not provide any details about the amount of calories burned during a specific procedure like ""Pulizia profonda Vasca Immersione"". Therefore, based solely on the provided context, I cannot answer this question.","[0.6899705529212952, 0.6971966028213501, 0.711762547492981]","['synthetic_data\\Sicurezza Impianto Sincro-Cristalli.pdf:0:2', 'synthetic_data\\Manutenzione Impianto XJ-99.pdf:1:0', 'synthetic_data\\Manutenzione Impianto XJ-99.pdf:0:2']",0.0,0.0,0.0,0.0,0.0,0.4356252007016928,0.1089063001754232
